ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
200797AE04712;Fatal;1;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200742I143404;Fatal;2;2;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200611BD10650;Fatal;4;1;5;Calzada;30;Luz_dia;Bueno;Seca;No;Rural
200934TW80309;Fatal;1;4;1;Autovia;70;Oscuridad sin iluminacion;Bueno;Humeda;No;Rural
200522FC42576;Fatal;2;2;6;Calzada;60;Oscuridad sin iluminacion;Ventoso;Seca;No;Rural
20054100F4338;Fatal;2;6;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200901TB00093;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200530D000582;Fatal;2;1;1;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201363AC05313;Fatal;2;17;3;;60;Luz_dia;Ventoso;Humeda;No;Rural
201320J003523;Fatal;2;2;3;Autovia;40;Luz_dia;Bueno;Seca;No;Urbano
200763DP11607;Fatal;2;3;6;Calzada;60;Oscuridad sin iluminacion;Lluvioso;Humeda;No;Rural
201191NJ11367;Fatal;2;2;3;Calzada;60;Luz_dia;Nieve y ventoso;Seca;No;Rural
200832D382908;Fatal;1;2;2;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200597KB70403;Fatal;1;1;4;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201091NJ14695;Fatal;1;1;5;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Rural
201106F050574;Fatal;1;2;7;Calzada;30;Luz_dia;Bueno;Seca;No;Rural
200742I110603;Fatal;2;2;1;Autovia;70;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
200732B053407;Fatal;1;1;1;Calzada;50;Oscuridad con luces encendidas;Bueno;Humeda;No;Rural
200520J021202;Fatal;2;3;6;Autovia;40;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200843P158018;Fatal;1;1;5;Calzada;50;Oscuridad con luces encendidas;Bueno;Humeda;No;Rural
200606L049743;Fatal;2;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200543N092085;Fatal;3;1;2;Autovia;70;Luz_dia;Bueno;Seca;No;Urbano
2005600DE2075;Fatal;5;5;7;Calzada;30;Luz_dia;Bueno;Humeda;No;Urbano
200597QC70605;Fatal;1;1;1;Autovia;70;Luz_dia;Lluvioso;Humeda;No;Rural
201231B141012;Fatal;3;5;3;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200801GD73072;Fatal;2;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201132C088711;Fatal;2;1;7;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200591NJ11486;Fatal;1;2;4;Calzada;60;Luz_dia;Bueno;Humeda;No;Rural
201263DP10112;Fatal;2;1;6;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200605FF04639;Fatal;1;1;1;Autovia;40;Oscuridad con luces encendidas;Nieve y ventoso;Humeda;No;Urbano
200763CP27907;Fatal;3;3;2;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201311ND07183;Fatal;2;2;1;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200697QB70505;Fatal;1;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200830C000464;Fatal;1;1;4;Calzada;30;Luz_dia;Niebla;Seca;No;Rural
201097BD70511;Fatal;1;1;3;Calzada;30;Luz_dia;Bueno;Humeda;No;Urbano
201442I372611;Fatal;1;1;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
20112110X0052;Fatal;1;1;5;Calzada;60;Luz_dia;Bueno;Humeda;No;Rural
201214C035612;Fatal;1;3;6;Calzada;40;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201101TD00112;Fatal;2;2;4;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
201097LB70707;Fatal;2;1;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
20054100J2038;Fatal;2;3;6;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200611BD12200;Fatal;2;1;1;Autovia;70;Oscuridad sin iluminacion;Lluvioso;Humeda;No;Rural
200706G083969;Fatal;1;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200643P171026;Fatal;2;5;1;Calzada;60;Luz_dia;Lluvioso;Humeda;Si;Rural
200920E091202;Fatal;2;1;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
